deal id,seller id,seller,brand,category,product name,stock,sell price,discount value,discounted price,discount_ratio
13144190,262713,더베이스_X,OFF WHITE,머플러 & 스카프,오프화이트 머플러 & 스카프 OMMC006F22FAB001,2,299000.00,65000.000,234000.000,0.2174
13145272,136979,더베이스_P,OFF WHITE,모자,오프화이트 모자 OWLA017F22KNI0011001,3,459000.00,197000.000,262000.000,0.4292
13144198,262713,더베이스_X,OFF WHITE,모자,오프화이트 모자 OMLA039F22FAB001,4,203000.00,41000.000,162000.000,0.2020
13150098,110017,더베이스_F,OFF WHITE,백팩 & 벨트백,[키즈] 오프화이트 백팩 & 벨트백 OBNB001F22FAB0011018 0,4,652000.00,178000.000,474000.000,0.2730
13144858,136979,더베이스_P,OFF WHITE,백팩 & 벨트백,오프화이트 백팩 & 벨트백 OMNB054F22FAB0018400,1,2223000.00,393000.000,1830000.000,0.1768
13145394,218031,더베이스_W,OFF WHITE,부츠,오프화이트 부츠 OWIE016F22MAT0011001,4,581000.00,54000.000,527000.000,0.0929
13145342,96815,더베이스,OFF WHITE,부츠,오프화이트 부츠 OMID016F22MAT001 0445,4,847000.00,318000.000,529000.000,0.3754
13145280,136979,더베이스_P,OFF WHITE,부츠,오프화이트 부츠 OWIE016F22MAT0011001,4,821000.00,369000.000,452000.000,0.4495
13145268,136979,더베이스_P,OFF WHITE,부츠,오프화이트 부츠 OWID022F22LEA0011010,4,1918000.00,890000.000,1028000.000,0.4640
13146689,63,더베이스,OFF WHITE,샌들,오프화이트 샌들 OMIC014F22MAT001 6161B,12,384000.00,111000.000,273000.000,0.2891
13145281,136979,더베이스_P,OFF WHITE,샌들,오프화이트 샌들 OWIC010F22MAT0016262,6,478000.00,206000.000,272000.000,0.4310
13152113,139812,더베이스_R,OFF WHITE,셔츠 & 남방,오프화이트 셔츠 & 남방 OMGA196F22FAB001 0210,1,1452000.00,645000.000,807000.000,0.4442
13152104,139812,더베이스_R,OFF WHITE,셔츠 & 남방,오프화이트 셔츠 & 남방 OMEA360F22FAB002 4201,3,2302000.00,1036000.000,1266000.000,0.4500
13152096,139812,더베이스_R,OFF WHITE,셔츠 & 남방,오프화이트 셔츠 & 남방 OMGA244F22FAB001 6200,1,1263000.00,558000.000,705000.000,0.4418
13151935,140453,더베이스_Q,OFF WHITE,스니커즈,오프화이트 스니커즈 OWIA259F22LEA001BIANCO,1,640000.00,59000.000,581000.000,0.0922
13145395,218031,더베이스_W,OFF WHITE,스니커즈,오프화이트 스니커즈 OWIA259F22LEA0080101,5,852000.00,81000.000,771000.000,0.0951
13144831,136979,더베이스_P,OFF WHITE,양말,오프화이트 양말 OMRA065F22KNI0010701,5,220000.00,90000.000,130000.000,0.4091
13152164,139812,더베이스_R,OFF WHITE,자켓,오프화이트 자켓 OMEA354F22FAB002 0501,1,2513000.00,1145000.000,1368000.000,0.4556
13145267,136979,더베이스_P,OFF WHITE,자켓,오프화이트 자켓 OWEC003F22FAB0013500,1,6813000.00,3824000.000,2989000.000,0.5613
13144853,136979,더베이스_P,OFF WHITE,자켓,오프화이트 자켓 OMEA354F22FAB0020501,2,2634000.00,1348000.000,1286000.000,0.5118
13144840,136979,더베이스_P,OFF WHITE,자켓,오프화이트 자켓 OMED045F22FAB0011001,1,4131000.00,2270000.000,1861000.000,0.5495
13144645,218031,더베이스_W,OFF WHITE,자켓,오프화이트 자켓 OWEF090F22FAB0011000,2,2140000.00,209000.000,1931000.000,0.0977
13144642,218031,더베이스_W,OFF WHITE,자켓,오프화이트 자켓 OWEF093F22FAB0011000,2,1937000.00,190000.000,1747000.000,0.0981
